"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12124","Получение списка заказов","tests","2026-07-10","passed","2026-07-10","TestOrdersList","test_orders_list","",""
"","919","Создание курьера с уже существующим логином","tests","2026-07-10","passed","2026-07-10","TestCourier","test_courier","",""
"","298","Создание заказа с разными вариантами цвета","tests","2026-07-10","passed","2026-07-10","TestOrder","test_order","",""
"","496","Создание курьера без обязательных полей","tests","2026-07-10","passed","2026-07-10","TestCourier","test_courier","",""
"","1909","Логин без обязательных полей","tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"","297","Создание заказа с разными вариантами цвета","tests","2026-07-10","passed","2026-07-10","TestOrder","test_order","",""
"","326","Создание заказа с разными вариантами цвета","tests","2026-07-10","passed","2026-07-10","TestOrder","test_order","",""
"","301","Создание курьера без обязательных полей","tests","2026-07-10","passed","2026-07-10","TestCourier","test_courier","",""
"","895","Логин с неверным паролем","tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"","566","Создание курьера с валидными данными","tests","2026-07-10","passed","2026-07-10","TestCourier","test_courier","",""
"","60333","Логин без обязательных полей","tests","2026-07-09","failed","2026-07-09","TestLogin","test_login","",""
"","1256","Логин с валидными данными","tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"","279","Создание заказа с разными вариантами цвета","tests","2026-07-10","passed","2026-07-10","TestOrder","test_order","",""
"","148","Создание курьера без обязательных полей","tests","2026-07-09","failed","2026-07-09","TestCourier","test_courier","",""
